index,simulated,observed
1,195,130
2,218,142
3,332,258
4,366,293
5,300,321
6,145,251
7,310,285
8,392,211
9,347,159
10,105,147
11,242,167
12,329,200
13,71,224
14,361,267
15,348,245
16,249,236
17,163,206
18,327,171
19,241,200
20,246,212
21,248,227
22,220,242
23,408,264
24,150,296
25,331,341
26,142,359
27,183,359
28,174,330
29,130,330
30,504,333
31,146,329
32,317,360
33,89,362
34,268,347
35,285,344
36,120,358
37,329,327
38,217,358
39,258,368
40,88,343
41,278,326
42,263,248
43,346,256
44,209,276
45,267,318
46,103,240
47,612,232
48,145,211
49,277,142
50,195,150
51,317,141
52,249,136
53,194,160
54,287,173
55,174,132
56,114,193
57,258,201
58,419,149
59,157,133
60,403,140
61,331,116
62,245,183
63,172,186
64,263,189
65,77,184
66,213,142
67,371,171
68,174,121
69,292,169
70,54,152
71,406,144
72,247,180
73,180,68
74,354,90
75,284,80
76,320,87
77,331,122
78,188,113
79,325,95
80,318,183
81,198,114
82,161,132
83,325,175
84,225,187
85,427,263
86,223,320
87,135,313
88,417,387
89,401,437
90,225,419
91,441,457
92,446,561
93,211,602
94,443,599
95,119,585
96,170,624
97,430,527
98,131,528
99,245,374
100,187,354
101,294,407
102,218,379
103,489,353
104,376,315
105,128,270
106,75,305
107,100,320
108,235,326
109,183,353
110,156,181
111,404,145
112,329,133
113,309,333
114,135,360
115,210,452
116,219,500
117,199,354
118,126,324
119,90,370
120,406,428
121,330,443
122,571,557
123,303,589
124,116,598
125,130,647
126,191,636
127,138,618
128,251,620
129,282,612
130,109,612
131,210,691
132,110,690
133,152,740
134,107,581
135,90,637
136,285,578
137,244,703
138,356,627
139,496,488
140,438,468
141,287,390
142,426,458
143,204,505
144,335,222
145,275,279
146,116,218
147,475,83
148,222,242
149,138,228
150,213,46
151,323,223
152,261,241
153,277,303
154,131,303
155,414,338
156,290,350
157,336,368
158,164,376
159,136,380
160,518,353
161,227,393
162,584,422
163,379,299
164,395,341
165,332,375
166,86,353
167,136,394
168,346,422
169,340,430
170,128,414
171,102,459
172,489,502
173,374,499
174,265,382
175,531,369
176,245,370
177,113,322
178,332,346
179,220,332
180,267,240
181,491,254
182,143,179
183,77,98
184,86,123
185,274,99
186,313,121
187,200,109
188,148,76
189,330,33
190,409,106
191,155,202
192,238,239
193,276,244
194,261,356
195,220,397
196,490,353
197,272,354
198,200,391
199,109,299
200,244,292
201,633,343
202,155,367
203,350,265
204,449,247
205,207,246
206,430,38
207,503,58
208,165,78
209,135,132
210,229,155
211,123,191
212,189,199
213,121,217
214,490,172
215,576,202
216,102,213
217,223,245
218,202,337
219,460,241
220,125,179
221,284,179
222,264,161
223,368,87
224,177,86
225,445,120
226,104,171
227,510,154
228,244,124
229,227,160
230,449,202
231,345,225
232,294,257
233,173,452
234,173,478
235,293,467
236,250,498
237,326,473
238,173,505
239,149,516
240,190,557
241,323,453
242,108,345
243,288,347
244,355,505
245,381,506
246,398,479
247,184,515
248,160,486
249,178,458
250,131,511
251,310,446
252,87,487
253,148,353
254,352,338
255,270,164
256,207,198
257,243,224
258,281,228
259,346,217
260,506,270
261,86,287
262,90,290
263,395,331
264,277,343
265,206,337
266,442,332
267,347,336
268,323,371
269,159,376
270,153,375
271,290,371
272,87,226
273,162,211
274,338,207
275,423,70
276,358,81
277,185,
278,188,
279,157,
280,213,
281,298,
282,318,
283,193,
284,219,
285,259,
286,210,
287,293,
288,356,
289,182,
290,325,
291,131,
292,177,
293,116,
294,131,
295,133,
296,331,
297,255,
298,168,
299,352,
300,308,
301,97,
302,258,
303,79,
304,342,
305,441,
306,80,
307,168,
308,169,
309,168,
310,293,
311,425,
312,197,
313,444,
314,258,
315,291,
316,139,
317,275,
318,187,
319,118,
320,437,
321,304,
322,217,
323,466,
324,422,
325,337,
326,191,
327,276,
328,213,
329,294,
330,289,
331,341,
332,340,
333,363,
334,280,
335,462,
336,373,
337,233,
338,249,
339,274,
340,363,
341,116,
342,244,
343,117,
344,437,
345,264,
346,187,
347,482,
348,164,
349,157,
350,411,
351,531,
352,508,
353,192,
354,320,
355,128,
356,175,
357,317,
358,164,
359,362,
360,94,
361,206,
362,397,
363,259,
364,223,
365,167,
366,308,
367,114,
368,189,
369,109,
370,249,
371,325,
372,308,
373,306,
374,127,
375,100,
376,392,
377,165,
378,562,
379,195,
380,316,
381,389,
382,315,
383,96,
384,129,
385,269,
386,256,
387,197,
388,269,
389,204,
390,99,
391,230,
392,349,
393,185,
394,230,
395,377,
396,143,
397,222,
398,382,
399,286,
400,545,
401,428,
402,183,
403,235,
404,192,
405,158,
406,125,
407,324,
408,182,
409,160,
410,729,
411,370,
412,603,
413,399,
414,145,
415,522,
416,289,
417,427,
418,116,
419,304,
420,126,
421,181,
422,253,
423,389,
424,201,
425,223,
426,176,
427,165,
428,341,
429,404,
430,124,
431,262,
432,545,
433,383,
434,224,
435,114,
436,368,
437,644,
438,464,
439,526,
440,286,
441,338,
442,605,
443,253,
444,250,
445,96,
446,236,
447,271,
448,571,
449,159,
450,229,
451,82,
452,346,
453,181,
454,286,
455,382,
456,211,
457,418,
458,94,
459,381,
460,171,
461,169,
462,193,
463,263,
464,229,
465,276,
466,149,
467,173,
468,489,
469,332,
470,255,
471,268,
472,328,
473,217,
474,322,
475,73,
476,291,
477,292,
478,372,
479,139,
480,446,
481,308,
482,195,
483,170,
484,239,
485,346,
486,249,
487,279,
488,161,
489,292,
490,133,
491,480,
492,224,
493,136,
494,138,
495,160,
496,296,
497,566,
498,174,
499,531,
500,195,
501,471,
502,142,
503,344,
504,82,
505,386,
506,345,
507,319,
508,415,
509,180,
510,556,
511,184,
512,339,
513,154,
514,331,
515,339,
516,366,
517,389,
518,553,
519,292,
520,205,
521,355,
522,260,
523,186,
524,105,
525,128,
526,398,
527,560,
528,458,
529,318,
530,370,
531,144,
532,173,
533,277,
534,350,
535,304,
536,182,
537,236,
538,310,
539,377,
540,128,
541,127,
542,132,
543,396,
544,248,
545,232,
546,498,
547,409,
548,156,
549,346,
550,366,
551,498,
552,432,
553,579,
554,202,
555,155,
556,430,
557,108,
558,204,
559,263,
560,484,
561,94,
562,192,
563,315,
564,409,
565,127,
566,163,
567,214,
568,294,
569,412,
570,93,
571,363,
572,301,
573,265,
574,184,
575,247,
576,263,
577,111,
578,192,
579,126,
580,105,
581,312,
582,100,
583,106,
584,151,
585,196,
586,347,
587,321,
588,368,
589,127,
590,256,
591,178,
592,414,
593,76,
594,217,
595,402,
596,133,
597,432,
598,244,
599,242,
600,158,
601,169,
602,339,
603,144,
604,86,
605,183,
606,112,
607,315,
608,109,
609,198,
610,181,
611,430,
612,343,
613,178,
614,325,
615,165,
616,412,
617,221,
618,226,
619,316,
620,306,
621,161,
622,381,
623,325,
624,430,
625,202,
626,183,
627,267,
628,316,
629,102,
630,486,
631,222,
632,532,
633,215,
634,132,
635,202,
636,233,
637,146,
638,89,
639,139,
640,232,
641,121,
642,380,
643,305,
644,171,
645,299,
646,546,
647,428,
648,267,
649,255,
650,337,
651,265,
652,99,
653,230,
654,269,
655,204,
656,318,
657,383,
658,101,
659,236,
660,144,
661,303,
662,173,
663,445,
664,381,
665,542,
666,404,
667,403,
668,175,
669,335,
670,403,
671,299,
672,249,
673,253,
674,270,
675,332,
676,217,
677,171,
678,282,
679,200,
680,186,
681,215,
682,568,
683,274,
684,302,
685,371,
686,200,
687,125,
688,461,
689,297,
690,177,
691,223,
692,212,
693,282,
694,442,
695,499,
696,110,
697,115,
698,239,
699,604,
700,135,
701,307,
702,188,
703,469,
704,134,
705,218,
706,104,
707,228,
708,361,
709,214,
710,248,
711,323,
712,242,
713,147,
714,129,
715,498,
716,127,
717,312,
718,141,
719,454,
720,247,
721,339,
722,232,
723,90,
724,172,
725,365,
726,548,
727,123,
728,531,
729,160,
730,295,
731,287,
732,317,
733,224,
734,223,
735,165,
736,352,
737,159,
738,297,
739,122,
740,353,
741,331,
742,94,
743,558,
744,322,
745,433,
746,124,
747,374,
748,174,
749,182,
750,254,
751,132,
752,204,
753,162,
754,278,
755,190,
756,150,
757,185,
758,301,
759,161,
760,186,
761,240,
762,92,
763,116,
764,283,
765,323,
766,179,
767,297,
768,292,
769,74,
770,477,
771,154,
772,93,
773,223,
774,167,
775,360,
776,138,
777,263,
778,255,
779,301,
780,221,
781,600,
782,345,
783,152,
784,220,
785,176,
786,352,
787,503,
788,158,
789,408,
790,388,
791,550,
792,235,
793,290,
794,430,
795,191,
796,247,
797,357,
798,238,
799,350,
800,109,
801,358,
802,226,
803,468,
804,164,
805,159,
806,110,
807,221,
808,291,
809,171,
810,198,
811,292,
812,312,
813,104,
814,388,
815,186,
816,431,
817,361,
818,566,
819,135,
820,178,
821,218,
822,424,
823,159,
824,226,
825,153,
826,145,
827,537,
828,132,
829,170,
830,252,
831,172,
832,182,
833,130,
834,408,
835,117,
836,284,
837,502,
838,179,
839,135,
840,120,
841,206,
842,252,
843,215,
844,189,
845,152,
846,173,
847,336,
848,598,
849,349,
850,203,
851,175,
852,242,
853,201,
854,192,
855,183,
856,363,
857,295,
858,555,
859,267,
860,449,
861,249,
862,123,
863,122,
864,83,
865,319,
866,137,
867,218,
868,83,
869,395,
870,194,
871,186,
872,158,
873,117,
874,124,
875,100,
876,363,
877,103,
878,259,
879,182,
880,283,
881,308,
882,194,
883,325,
884,279,
885,134,
886,172,
887,234,
888,78,
889,281,
890,88,
891,341,
892,200,
893,203,
894,410,
895,105,
896,119,
897,395,
898,215,
899,204,
900,225,
901,399,
902,313,
903,223,
904,224,
905,113,
906,313,
907,105,
908,121,
909,319,
910,173,
911,217,
912,260,
913,197,
914,347,
915,144,
916,132,
917,412,
918,167,
919,209,
920,299,
921,261,
922,185,
923,137,
924,240,
925,164,
926,182,
927,320,
928,196,
929,174,
930,346,
931,151,
932,184,
933,187,
934,354,
935,149,
936,116,
937,364,
938,418,
939,336,
940,152,
941,164,
942,470,
943,572,
944,90,
945,316,
946,445,
947,363,
948,114,
949,241,
950,104,
951,157,
952,223,
953,347,
954,482,
955,209,
956,350,
957,192,
958,147,
959,156,
960,555,
961,496,
962,350,
963,150,
964,222,
965,319,
966,197,
967,128,
968,121,
969,142,
970,113,
971,239,
972,359,
973,299,
974,315,
975,383,
976,117,
977,106,
978,294,
979,101,
980,300,
981,489,
982,77,
983,93,
984,156,
985,244,
986,358,
987,714,
988,185,
989,141,
990,366,
991,470,
992,257,
993,118,
994,207,
995,196,
996,98,
997,274,
998,454,
999,189,
1000,194,
